Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/2/20 21:45, ,12.2,0,42.87,0,27.5,0,92.6,0,8.4,0,1.22,0,7.9,0,8,0
sfbrbwq,1/2/20 22:00, ,12.2,0,42.87,0,27.5,0,92.9,0,8.4,0,1.19,0,7.9,0,7,0
sfbrbwq,1/2/20 22:15, ,12.2,0,42.87,0,27.5,0,92.6,0,8.4,0,1.19,0,7.9,0,8,0
sfbrbwq,1/2/20 22:30, ,12.1,0,42.86,0,27.5,0,92.1,0,8.3,0,1.18,0,7.9,0,12,0
sfbrbwq,1/2/20 22:45, ,12.1,0,42.88,0,27.5,0,92.1,0,8.3,0,1.19,0,7.9,0,10,0
sfbrbwq,1/2/20 23:00, ,12.1,0,42.88,0,27.5,0,91.9,0,8.3,0,1.17,0,7.9,0,6,0
sfbrbwq,1/2/20 23:15, ,12.1,0,42.89,0,27.6,0,92,0,8.3,0,1.19,0,7.9,0,6,0
sfbrbwq,1/2/20 23:30, ,12.1,0,42.9,0,27.6,0,91.9,0,8.3,0,1.2,0,7.9,0,8,0
sfbrbwq,1/2/20 23:45, ,12.1,0,42.91,0,27.6,0,91.8,0,8.3,0,1.22,0,7.9,0,7,0
sfbrbwq,1/3/20 0:00, ,12.1,0,42.91,0,27.6,0,91.8,0,8.3,0,1.25,0,7.9,0,6,0
sfbrbwq,1/3/20 0:15, ,12.1,0,42.91,0,27.6,0,92.2,0,8.3,0,1.29,0,7.9,0,7,0
sfbrbwq,1/3/20 0:30, ,12,0,42.88,0,27.5,0,92.1,0,8.3,0,1.33,0,7.9,0,6,0
sfbrbwq,1/3/20 0:45, ,12,0,42.86,0,27.5,0,92,0,8.3,0,1.41,0,7.9,0,7,0
sfbrbwq,1/3/20 1:00, ,12,0,42.86,0,27.5,0,92.1,0,8.3,0,1.45,0,7.9,0,7,0
sfbrbwq,1/3/20 1:15, ,12,0,42.88,0,27.5,0,92.3,0,8.4,0,1.5,0,7.9,0,6,0
sfbrbwq,1/3/20 1:30, ,12,0,42.92,0,27.6,0,92.1,0,8.4,0,1.55,0,7.9,0,6,0
sfbrbwq,1/3/20 1:45, ,12,0,42.97,0,27.6,0,92.3,0,8.4,0,1.62,0,7.9,0,7,0
sfbrbwq,1/3/20 2:00, ,11.9,0,42.89,0,27.5,0,91.6,0,8.3,0,1.68,0,7.9,0,6,0
sfbrbwq,1/3/20 2:15, ,11.9,0,42.93,0,27.6,0,91.4,0,8.3,0,1.75,0,7.9,0,7,0
sfbrbwq,1/3/20 2:30, ,12,0,42.92,0,27.6,0,91.3,0,8.3,0,1.81,0,7.9,0,6,0
